trip_id,route_id,shape_id
100__401011_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
101__401036_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1025__401068_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1026__401068_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1027__401068_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1028__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1029__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
102__401008_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1030__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1031__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1032__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1033__401030_Timetable_-_2024-12,403,100.0.1667218438_Timetable_-_2024-12
1034__401068_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1035__401068_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1036__401068_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1037__401068_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1038__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1039__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
103__401037_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1040__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1041__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1042__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1043__401030_Timetable_-_2024-12,403,100.0.1667218439_Timetable_-_2024-12
1044__401088_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1045__401004_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1046__401003_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1047__401092_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1048__401002_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1049__401092_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
104__401017_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1050__401073_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1051__401025_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1052__401084_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1053__401099_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1054__401006_Timetable_-_2024-12,423,100.0.1672883331_Timetable_-_2024-12
1055__401003_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1056__401092_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1057__401002_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1058__401080_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1059__401092_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
105__401012_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1060__401035_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1061__401025_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1062__401084_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1063__401099_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1064__401006_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1065__401088_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1066__401004_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1067__401003_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1068__401004_Timetable_-_2024-12,423,100.0.1672883332_Timetable_-_2024-12
1069__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
106__401010_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1070__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1071__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1072__401027_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1073__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1074__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1075__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1076__401027_Timetable_-_2024-12,409,100.0.2081288673_Timetable_-_2024-12
1077__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1078__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1079__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
107__401011_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1080__401027_Timetable_-_2024-12,409,100.0.2081288673_Timetable_-_2024-12
1081__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1082__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1083__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1084__401027_Timetable_-_2024-12,409,100.0.2081288673_Timetable_-_2024-12
1085__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1086__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1087__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1088__401027_Timetable_-_2024-12,409,100.0.2081288673_Timetable_-_2024-12
1089__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
108__401036_Timetable_-_2024-12,403,100.0.1046829277_Timetable_-_2024-12
1090__401022_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1091__401028_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1092__401027_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1093__401024_Timetable_-_2024-12,409,100.0.1673310071_Timetable_-_2024-12
1094__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1095__401027_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1096__401024_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1097__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1098__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1099__401027_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
109__401010_Timetable_-_2024-12,403,100.0.1046829271_Timetable_-_2024-12
1100__401024_Timetable_-_2024-12,409,100.0.2081288674_Timetable_-_2024-12
1101__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1102__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1103__401027_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1104__401024_Timetable_-_2024-12,409,100.0.2081288674_Timetable_-_2024-12
1105__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1106__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1107__401027_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1108__401024_Timetable_-_2024-12,409,100.0.2081288674_Timetable_-_2024-12
1109__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
110__401011_Timetable_-_2024-12,403,100.0.1046829271_Timetable_-_2024-12
1110__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1111__401027_Timetable_-_2024-12,409,100.0.2242012086_Timetable_-_2024-12
1112__401024_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1113__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1114__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1115__401027_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1116__401024_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1117__401022_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1118__401028_Timetable_-_2024-12,409,100.0.2242012082_Timetable_-_2024-12
1119__401004_Timetable_-_2024-12,410,100.0.1046829822_Timetable_-_2024-12
111__401008_Timetable_-_2024-12,403,100.0.1046829271_Timetable_-_2024-12
1120__401001_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1121__402004_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1122__402002_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1123__201001_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1124__401072_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1125__402004_Timetable_-_2024-12,900,100.0.1952650221_Timetable_-_2024-12
1126__201030_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
1127__402004_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
1128__402001_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
1129__402003_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
112__401030_Timetable_-_2024-12,403,100.0.1046829271_Timetable_-_2024-12
1130__201001_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
1131__401072_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
1132__402004_Timetable_-_2024-12,900,100.0.1952650222_Timetable_-_2024-12
