Date,Time,Min Delay
2024-01-01,02:08,10
2024-01-01,02:30,20
2024-01-01,03:13,0
2024-01-01,03:23,0
2024-01-01,03:37,0
2024-01-01,03:40,8
2024-01-01,04:00,20
2024-01-01,04:02,21
2024-01-01,04:11,10
2024-01-01,04:15,0
2024-01-01,04:23,30
2024-01-01,05:00,0
2024-01-01,05:07,25
2024-01-01,05:38,0
2024-01-01,05:52,30
2024-01-01,06:06,0
2024-01-01,06:19,18
2024-01-01,06:23,20
2024-01-01,06:49,20
2024-01-01,06:51,23
2024-01-01,07:09,12
2024-01-01,07:14,21
2024-01-01,07:21,14
2024-01-01,07:21,780
2024-01-01,07:21,20
2024-01-01,07:47,8
2024-01-01,07:56,30
2024-01-01,08:08,0
2024-01-01,08:18,30
2024-01-01,08:29,15
2024-01-01,08:36,10
2024-01-01,08:39,10
2024-01-01,09:02,24
2024-01-01,09:06,11
2024-01-01,09:21,14
2024-01-01,09:32,25
2024-01-01,09:51,55
2024-01-01,09:52,30
2024-01-01,09:56,52
2024-01-01,10:27,8
2024-01-01,10:33,15
2024-01-01,11:03,10
2024-01-01,11:24,22
2024-01-01,11:36,0
2024-01-01,11:40,10
2024-01-01,11:43,15
2024-01-01,11:50,6
2024-01-01,12:01,7
2024-01-01,12:12,10
2024-01-01,12:45,10
2024-01-01,13:14,10
2024-01-01,13:50,12
2024-01-01,14:22,10
2024-01-01,14:39,20
2024-01-01,14:39,20
2024-01-01,14:49,20
2024-01-01,14:54,12
2024-01-01,15:02,350
2024-01-01,15:22,8
2024-01-01,16:27,10
2024-01-01,16:32,30
2024-01-01,16:50,7
2024-01-01,17:15,30
2024-01-01,17:20,20
2024-01-01,17:22,45
2024-01-01,17:25,20
2024-01-01,17:47,12
2024-01-01,18:13,56
2024-01-01,18:38,12
2024-01-01,19:00,0
2024-01-01,19:04,5
2024-01-01,19:09,28
2024-01-01,19:18,141
2024-01-01,19:53,10
2024-01-01,19:54,28
2024-01-01,19:54,10
2024-01-01,19:56,17
2024-01-01,20:00,5
2024-01-01,20:09,10
2024-01-01,20:30,10
2024-01-01,21:02,90
2024-01-01,21:18,20
2024-01-01,21:26,0
2024-01-01,21:47,24
2024-01-01,22:11,15
2024-01-01,22:25,15
2024-01-01,22:29,25
2024-01-01,22:47,60
2024-01-01,22:47,60
2024-01-01,22:55,640
2024-01-01,22:57,76
2024-01-01,22:57,63
2024-01-01,22:57,63
2024-01-01,23:02,60
2024-01-01,23:37,60
2024-01-01,23:47,22
2024-01-01,23:47,30
2024-01-01,00:33,20
2024-01-01,00:44,80
2024-01-01,01:36,24
2024-01-02,02:23,0
2024-01-02,02:37,30
2024-01-02,03:21,7
2024-01-02,04:11,8
2024-01-02,04:33,0
2024-01-02,04:38,7
2024-01-02,04:38,7
2024-01-02,04:43,31
2024-01-02,04:44,0
2024-01-02,04:49,20
2024-01-02,04:53,7
2024-01-02,05:07,10
2024-01-02,05:24,8
2024-01-02,05:25,20
2024-01-02,05:27,9
2024-01-02,05:29,19
2024-01-02,05:31,8
2024-01-02,05:41,8
2024-01-02,05:43,10
2024-01-02,05:43,10
2024-01-02,05:44,7
2024-01-02,05:44,20
2024-01-02,05:45,10
2024-01-02,05:52,10
2024-01-02,05:52,9
2024-01-02,05:53,9
2024-01-02,06:03,10
2024-01-02,06:09,10
2024-01-02,06:09,10
2024-01-02,06:14,27
2024-01-02,06:18,38
2024-01-02,06:20,24
2024-01-02,06:21,6
2024-01-02,06:22,38
2024-01-02,06:24,38
2024-01-02,06:33,9
2024-01-02,06:50,16
2024-01-02,06:53,6
2024-01-02,06:54,15
2024-01-02,07:16,15
2024-01-02,07:44,9
2024-01-02,07:44,5
2024-01-02,07:50,4
2024-01-02,07:50,11
2024-01-02,08:06,182
2024-01-02,08:08,11
2024-01-02,08:10,10
2024-01-02,08:11,15
2024-01-02,08:13,11
2024-01-02,08:24,9
2024-01-02,08:38,5
2024-01-02,08:44,0
2024-01-02,08:50,9
2024-01-02,08:52,10
2024-01-02,09:06,12
2024-01-02,09:14,11
2024-01-02,09:27,10
2024-01-02,09:33,12
2024-01-02,09:35,20
2024-01-02,09:40,20
2024-01-02,09:40,18
2024-01-02,09:41,15
2024-01-02,09:45,28
2024-01-02,09:49,22
2024-01-02,09:54,16
2024-01-02,09:54,8
2024-01-02,10:02,20
2024-01-02,10:18,11
2024-01-02,10:34,18
2024-01-02,11:01,9
2024-01-02,11:03,8
2024-01-02,11:20,20
2024-01-02,11:38,55
2024-01-02,11:38,8
2024-01-02,11:39,456
2024-01-02,11:40,10
2024-01-02,11:45,9
2024-01-02,12:08,20
2024-01-02,12:18,10
2024-01-02,12:45,12
2024-01-02,12:52,19
2024-01-02,13:12,22
2024-01-02,13:16,8
2024-01-02,13:37,26
2024-01-02,13:44,6
2024-01-02,13:47,12
2024-01-02,14:00,30
2024-01-02,14:00,0
2024-01-02,14:04,0
2024-01-02,14:15,25
2024-01-02,14:34,12
2024-01-02,14:39,13
2024-01-02,14:49,11
2024-01-02,15:00,25
2024-01-02,15:02,25
2024-01-02,15:04,12
2024-01-02,15:13,12
2024-01-02,15:34,0
2024-01-02,15:49,12
2024-01-02,15:58,10
2024-01-02,16:05,10
2024-01-02,16:05,25
2024-01-02,16:08,11
2024-01-02,16:12,10
2024-01-02,16:16,14
2024-01-02,16:16,15
2024-01-02,16:28,7
2024-01-02,16:29,8
2024-01-02,16:31,13
2024-01-02,16:34,117
2024-01-02,16:35,20
2024-01-02,16:38,12
2024-01-02,16:52,15
2024-01-02,16:54,0
2024-01-02,16:55,9
2024-01-02,17:09,14
2024-01-02,17:19,12
2024-01-02,17:22,20
2024-01-02,17:36,12
2024-01-02,17:46,7
2024-01-02,17:52,6
2024-01-02,17:53,10
2024-01-02,17:59,9
2024-01-02,18:13,15
2024-01-02,18:13,12
2024-01-02,18:16,13
2024-01-02,18:22,9
2024-01-02,18:27,10
2024-01-02,18:30,10
2024-01-02,18:32,24
2024-01-02,18:33,10
2024-01-02,18:39,20
2024-01-02,18:39,10
2024-01-02,18:42,0
2024-01-02,18:59,51
2024-01-02,19:04,15
2024-01-02,19:15,10
2024-01-02,19:16,28
2024-01-02,19:16,28
2024-01-02,19:20,10
2024-01-02,19:29,12
2024-01-02,19:41,10
2024-01-02,19:42,60
2024-01-02,19:51,15
2024-01-02,19:53,8
2024-01-02,19:54,10
2024-01-02,19:54,10
2024-01-02,20:26,20
2024-01-02,20:40,0
2024-01-02,20:42,20
2024-01-02,20:52,13
2024-01-02,21:00,8
2024-01-02,21:11,20
2024-01-02,21:38,10
2024-01-02,21:44,10
2024-01-02,21:46,16
2024-01-02,21:58,20
2024-01-02,22:01,10
2024-01-02,22:07,10
2024-01-02,22:08,12
2024-01-02,22:26,189
2024-01-02,22:26,30
2024-01-02,22:26,0
2024-01-02,22:34,12
2024-01-02,22:36,101
2024-01-02,22:44,30
2024-01-02,22:45,10
2024-01-02,22:54,0
2024-01-02,23:07,9
2024-01-02,23:50,35
2024-01-02,23:59,20
2024-01-02,01:13,20
2024-01-03,02:01,8
2024-01-03,02:04,30
2024-01-03,02:30,20
2024-01-03,02:53,0
2024-01-03,03:15,30
2024-01-03,03:38,0
2024-01-03,04:24,0
